FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea
18	166	AT	2001001	Draoe	Oberdrauburg-OWF	AT	0	0	2112	616.08	1990	2021	46.747615	12.97297	2113	0	46.74167	12.975	46.7479	12.9729	2105
19	168	AT	6001033	Enns	Admont__Enns	AT	0	0	2638	616.8	1991	2021	47.581186	14.461733	2651	0	47.575	14.45833	47.5812	14.4621	2626
20	169	AT	4001134	Enns	Steyr__Ortskai	AT	0	0	5915	283.97	1991	2021	48.043318	14.424931	5943	0	48.04167	14.425	48.0429	14.4246	5924
21	170	AT	6001025	Enns	Trautenfels	AT	0	0	1490	639.96	2010	2021	47.514579	14.08546	1520	0	47.50833	14.075	47.5138	14.0854	1513
22	173	AT	2001041	Gail	Federaun	AT	0	0	1305	498.54	1990	2021	46.569332	13.814816	1337	0	46.575	13.80833	46.5696	13.8146	1300
23	175	AT	2001062	Gurk	Gumisch	AT	0	0	2555	394.34	1990	2021	46.606288	14.478061	2326	0	46.60833	14.475	46.6063	14.4779	2317
24	176	AT	2001071	Gurk	Launsdorf	AT	0	0	1243	510	1990	2021	46.760439	14.476932	1004	0	46.75833	14.475	46.7604	14.4771	1013
25	179	AT	7001049	Inn	Innsbruck	AT	0	0	5772	568.46	1991	2021	47.275613	11.396506	5795	0	47.275	11.39167	47.2746	11.3963	5781
26	180	AT	7001062	Inn	Jenbach-Rotholz	AT	0	0	7231	521.67	1990	2021	47.388857	11.789238	7233	0	47.39167	11.79167	47.3888	11.7896	7206
27	181	AT	7001015	Inn	Kajetansbruecke	AT	0	0	2162	967.16	1990	2021	46.951979	10.511638	2163	0	46.95833	10.50833	46.9521	10.5121	2148
28	182	AT	7001081	Inn	Kirchbichl-Bichlwang	AT	0	0	9310	484	1990	2021	47.522774	12.093312	9305	0	47.525	12.09167	47.5229	12.0929	9281
29	183	AT	7001043	Inn	Magerbach	AT	0	0	5119	652.98	1990	2021	47.258747	10.874705	5091	0	47.25833	10.875	47.2587	10.8746	5087
30	184	AT	7001027	Inn	Perjen	AT	0	0	3503	768.73	2008	2021	47.146797	10.571568	3487	0	47.14167	10.575	47.1471	10.5721	3484
31	185	AT	7001017	Inn	Prutz	AT	0	0	2462	861.36	1990	2021	47.076753	10.660908	2452	0	47.075	10.65833	47.0771	10.6612	2449
32	187	AT	7001140	Isel	Lienz	AT	0	0	1199	669.29	1990	2021	46.831632	12.766335	1198	0	46.84167	12.75833	46.8312	12.7662	1196
33	188	AT	3001039	Kamp	Stiefern	AT	0	0	1493	217	1990	2021	48.534688	15.690083	1493	0	48.54167	15.69167	48.5346	15.6904	1489
34	189	AT	7001007	Lech	Lechaschau	AT	0	0	1012	836.09	1991	2021	47.497015	10.709677	1021	0	47.49167	10.70833	47.4971	10.7104	999
35	190	AT	3001121	Leitha	Deutsch_Brodersdorf	AT	0	0	1620	193.04	1990	2010	47.937903	16.477205	1620	0	47.94167	16.475	47.9379	16.4771	1562
36	191	AT	3001122	Leitha	Deutsch_Haslau	AT	0	0	1982	139.19	1990	2021	48.04761	16.943102	1998	0	48.04167	16.94167	48.0471	16.9429	1943
37	192	AT	2001020	Lieser	Spittal__Fasan	AT	0	0	1036	556.19	1990	2021	46.807338	13.494837	1044	0	46.80833	13.49167	46.8071	13.4962	1031
38	195	AT	2001007	Moll	Kolbnitz	AT	0	0	1044	607	1990	2021	46.875108	13.302641	1053	0	46.875	13.30833	46.8746	13.3029	1044
39	197	AT	6001079	Mur	Bruck	AT	0	0	6214	468.14	1990	2021	47.409966	15.28143	6215	0	47.40833	15.275	47.4104	15.2812	6192
40	198	AT	6001059	Mur	Gestuethof	AT	0	0	1700	776.3	1990	2021	47.110664	14.209475	1718	0	47.10833	14.20833	47.1112	14.2096	1696
41	200	AT	6001132	Mur	Mellach	AT	0	0	7296	290.8	2010	2021	46.902063	15.492877	7322	0	46.90833	15.49167	46.9021	15.4937	7280
42	201	AT	6001099	Mur	Mureck	AT	0	0	9770	224.23	1990	2021	46.711443	15.792175	9777	0	46.70833	15.79167	46.7112	15.7929	9747
43	202	AT	6001060	Mur	StGeorgen	AT	0	0	2368	700.15	1990	2021	47.211775	14.499123	2357	0	47.20833	14.49167	47.2121	14.4987	2341
44	203	AT	6001063	Mur	Zeltweg	AT	0	0	2958	646.34	1990	2021	47.185059	14.752621	2995	0	47.19167	14.75833	47.1854	14.7529	2953
45	207	AT	5001052	Saalach	Siezenheim	AT	0	0	1139	415.77	1990	2021	47.811555	12.974216	1133	0	47.80833	12.975	47.8121	12.9746	1137
46	208	AT	5001028	Saalach	Golling	AT	0	0	3556	463.19	1990	2021	47.595786	13.16345	3541	0	47.59167	13.15833	47.5954	13.1638	3541
47	211	AT	5001085	Saalach	Wallnerau	AT	0	0	2143	597.9	2008	2021	47.310132	13.12021	2157	0	47.30833	13.125	47.3096	13.1204	2135
48	212	AT	5001098	Saalach	Werfen	AT	0	0	2953	512.13	1995	2021	47.479884	13.191103	2963	0	47.475	13.19167	47.4804	13.1913	2951
49	213	AT	6001095	Sulm	Leibnitz	AT	0	0	1103	262.98	1990	2021	46.771039	15.534549	1113	0	46.775	15.54167	46.7721	15.5346	1104
50	214	AT	3001089	Thaya	Raabs_an_der_Thaya	AT	0	0	1406	395.44	1990	2021	48.844976	15.499183	1423	0	48.84167	15.49167	48.8446	15.4996	1399
51	216	AT	4001181	Traun	Wels-Lichtenegg	AT	0	0	3387	309	2009	2021	48.141089	13.995787	3480	0	48.14167	13.99167	48.1404	13.9954	3383
52	221	AT	3001008	Ybbs	Greimpersdorf	AT	0	0	1117	261.73	1990	2021	48.110874	14.891028	1124	0	48.10833	14.89167	48.1112	14.8912	1104
53	223	AT	7001071	Ziller	Hart_im_Zillertal	AT	0	0	1095	530.95	1990	2021	47.346304	11.862502	1094	0	47.34167	11.85833	47.3471	11.8629	1090
54	228	RS	42010	Danube	Bezdan	RS	0	0	210250	80.64	1991	2021	45.854141	18.859776	209319	0	45.875	18.825	45.8537	18.8562	209737
55	231	RS	42660	Nera	Kusic	RS	0	0	1337	91	2008	2021	44.870834	21.485225	1350	0	44.875	21.49167	44.8713	21.4862	1343
56	232	RS	42929	Beli_Timok	Zajecar	RS	0	0	2150	124.41	2008	2021	43.892142	22.293443	2129	0	43.89167	22.29167	43.8921	22.2929	2147
57	233	RS	42901	oeliki_Timok	Cokonjar	RS	0	0	3945	97.05	2006	2021	44.011722	22.355994	3962	0	44.00833	22.35833	44.0121	22.3562	3951
58	234	RS	45084	Saoe	Jamena	RS	0	0	64073	72.44	2006	2021	44.877743	19.084006	61445	0	44.875	19.09167	44.8762	19.0854	68096
59	235	RS	45090	Saoe	Sremaska_Mitrooeca	RS	0	0	87996	72.22	1991	2021	44.965672	19.60019	84873	0	44.975	19.59167	44.9654	19.6013	91749
60	236	RS	45882	Drina	Radalj	RS	0	0	17490	129.47	1991	2021	44.41907	19.14799	17740	0	44.425	19.14167	44.4188	19.1471	17515
61	237	RS	45910	Kolubara	Beli_Brod	RS	0	0	1896	99.32	2008	2021	44.371198	20.199508	1830	0	44.375	20.19167	44.3713	20.1996	1831
62	238	RS	47010	oelika_Moraoe	oeroerin	RS	0	0	31548	126.13	2008	2021	43.724576	21.373063	31505	0	43.70833	21.39167	43.7246	21.3738	31633
63	239	RS	47040	oelika_Moraoe	Bagrdan	RS	0	0	33446	100.94	2008	2021	44.070498	21.195798	33658	0	44.05833	21.20833	44.0712	21.1962	33577
64	240	RS	47101	Zapadna_Moraoe	Kratooeka_stena	RS	0	0	3077	290.44	2008	2021	43.87126	20.118569	3090	0	43.875	20.125	43.8713	20.1187	3095
65	241	RS	47120	Zapadna_Moraoe	Milocaj	RS	0	0	4658	194.27	2008	2021	43.775839	20.627096	4609	0	43.775	20.625	43.7762	20.6271	4599
66	242	RS	47195	Zapadna_Moraoe	Jasika	RS	0	0	14721	138.56	1991	2021	43.608124	21.295077	14554	0	43.60833	21.29167	43.6088	21.2954	14529
67	243	RS	47528	Juzna_Moraoe	oeanjski_Priboj	RS	0	0	2775	349.98	2008	2021	42.600342	22.012318	2806	0	42.60833	22.00833	42.6004	22.0121	2780
68	244	RS	47540	Juzna_Moraoe	Grdelica	RS	0	0	3782	251.63	1991	2021	42.890972	22.061887	3744	0	42.89167	22.05833	42.8904	22.0621	3727
69	245	RS	47550	Juzna_Moraoe	Koroengrad	RS	0	0	9396	188.09	2008	2021	43.219521	21.838303	9516	0	43.225	21.84167	43.2196	21.8379	9486
70	246	RS	47590	Juzna_Moraoe	Mojsinje	RS	0	0	15390	136.28	1991	2021	43.63055	21.485787	15657	0	43.625	21.49167	43.6296	21.4854	15620
71	247	RS	47890	Toplica	Doljeoec	RS	0	0	2052	190.41	2008	2021	43.20241	21.830671	2206	0	43.20833	21.825	43.2021	21.8304	2061
72	248	RS	47920	Nisaoe	Pirot	RS	0	0	1745	364.27	2008	2021	43.159234	22.588755	1794	0	43.14167	22.60833	43.1587	22.5887	1815
73	249	RS	47990	Nisaoe	Nis	RS	0	0	3870	187.88	1991	2021	43.326211	21.90196	4018	0	43.325	21.90833	43.3263	21.9021	3994
74	257	RS	47295	Ibar	Lopatnica_lakat	RS	0	0	7818	224.68	1991	2021	43.659922	20.563451	7716	0	43.65833	20.55833	43.6596	20.5637	7700
75	258	RS	42921	Beli_Timok	Knjazeoec	RS	0	0	1242	211.63	2008	2021	43.576355	22.259299	1237	0	43.575	22.25833	43.5763	22.2596	1257
76	261	RS	42020	Danube	Bogojeoe	RS	0	0	251593	77.46	1991	2021	45.53004	19.078749	252207	0	45.525	19.075	45.5279	19.0779	253996
77	263	RS	42480	Brzaoe	Markooeceoe	RS	0	0	1111	76.9	2008	2021	45.326954	21.03038	1217	0	45.325	21.025	45.3263	21.0304	949
78	264	RS	47090	oelika_Moraoe	Ljubiceoeki_most	RS	0	0	37320	73.42	1991	2021	44.585387	21.131837	37277	0	44.59167	21.125	44.5846	21.1321	37147
79	272	SK	5040	Moraoe	Moraoekoe	SK	0	0	24129	146.24	1991	2021	48.602278	16.935429	24137	0	48.60833	16.94167	48.6021	16.9354	23997
80	273	SK	5127	Danube	Deoecn	SK	0	0	131244	132.87	2002	2021	48.173299	16.977317	131325	0	48.175	16.975	48.1721	16.9763	131005
81	274	SK	5550	oeh	Liptooekoe_Mikulv	SK	0	0	1107	567.68	1991	2021	49.086364	19.603513	1131	0	49.09167	19.60833	49.0862	19.6029	1100
82	277	SK	6146	oeh	Strefcno	SK	0	0	5453	353.4	1996	2021	49.172511	18.864047	5476	0	49.175	18.85833	49.1737	18.8637	5425
83	278	SK	6480	oeh	Tafaea	SK	0	0	11218	109.23	1991	2021	48.161217	17.881949	10808	0	48.15833	17.875	48.1596	17.8821	10435
84	279	SK	6730	Nitra	Nitrianska_Streda	SK	0	0	2094	158.25	1991	2021	48.523948	18.172555	2129	0	48.525	18.175	48.5246	18.1721	2079
85	280	SK	6772	Nitra	Nooeo_Zuemky	SK	0	0	4064	108.73	1991	2021	47.978552	18.174321	3157	0	47.975	18.175	47.9796	18.1729	3106
86	281	SK	6849	Danube	Komoerno	SK	0	0	151962	103.4	1995	2021	47.754313	18.127812	151484	0	47.75833	18.125	47.7504	18.1279	151083
87	282	SK	7160	Hron	Banskoe_Bystrica	SK	0	0	1766	334.29	1991	2021	48.731088	19.140372	1858	0	48.725	19.14167	48.7313	19.1404	1758
88	283	SK	7290	Hron	Brehy	SK	0	0	3821	194.27	1991	2021	48.406726	18.64624	3901	0	48.40833	18.64167	48.4071	18.6463	3860
89	284	SK	7540	Ipel	Slooenskoe_fearmoty	SK	0	0	2768	136.11	1991	2021	48.087161	19.297626	2763	0	48.09167	19.29167	48.0871	19.2979	2748
90	285	SK	7820	Slana	Lenoetooee	SK	0	0	1830	150.41	1991	2021	48.30507	20.313416	1769	0	48.30833	20.30833	48.3054	20.3146	1793
91	286	SK	7900	Rimaoe	oekyaa	SK	0	0	1377	150.63	1991	2021	48.285404	20.301721	1371	0	48.29167	20.30833	48.2854	20.3029	1375
92	288	SK	8510	Hornad	Margecany	SK	0	0	1133	329.35	1991	2021	48.909548	20.972338	1113	0	48.90833	20.975	48.9096	20.9721	1124
93	289	SK	8870	Torysa	Koickoeny	SK	0	0	1298	185.7	1991	2021	48.733426	21.336383	1291	0	48.725	21.34167	48.7329	21.3362	1297
94	290	SK	9230	Laborec	Humennv	SK	0	0	1272	143.6	1991	2021	48.928054	21.912382	1273	0	48.925	21.90833	48.9279	21.9121	1269
95	291	SK	9320	Uzh	Lekoeooee	SK	0	0	1989	98.92	1991	2021	48.605475	22.156619	2008	0	48.60833	22.15833	48.6054	22.1562	1991
96	292	SK	9410	Latorica	oefækoeKapuany	SK	0	0	2915	93.7	1991	2021	48.500766	22.051758	3814	0	48.49167	22.05833	48.5004	22.0521	3425
97	293	SK	9500	Topla	Hanuooee_nad_Toplou	SK	0	0	1050	160.4	1991	2021	49.032598	21.519206	1080	0	49.025	21.525	49.0329	21.5196	1056
98	294	SK	9670	Bodrog	Streda_nad_Bodrogom	SK	0	0	11474	91.48	1991	2021	48.395088	21.748243	12092	0	48.39167	21.74167	48.3954	21.7479	11931
99	327	RS	42527	Mlaoe	oeliko_Selo	RS	0	0	1124	92.55	2008	2021	44.49455	21.299877	1296	0	44.49167	21.30833	44.4946	21.3004	1276
100	457	DE	16606009	Amper	Ampermoching	DE	0	0	2189	464.07	1990	2021	48.297	11.4916	2238	0	48.29167	11.49167	48.2971	11.4912	2311
101	458	DE	12407000	Wertach	Augsburg_Oberhausen	DE	0	0	1257	464.09	1999	2021	48.378353	10.881891	1256	0	48.375	10.875	48.3788	10.8821	1240
102	460	DE	13407902	Altmuhl	Beilngries	DE	0	0	2251	362.66	1990	2021	49.0285	11.4783	2267	0	49.025	11.45833	49.0279	11.4779	2450
103	461	DE	18606000	Salzach	Burghausen	DE	0	0	6649	351.62	1990	2021	48.1585	12.8341	6659	0	48.15833	12.84167	48.1587	12.8346	6647
104	462	DE	15202300	Regen	Chamerau	DE	0	0	1357	371.28	1990	2021	49.181157	12.746633	1366	0	49.175	12.75833	49.1821	12.7462	1353
105	463	DE	10035801	Danube	Dillingen	DE	0	0	11350	415	1990	2021	48.5684	10.5005	11740	0	48.575	10.50833	48.5679	10.5004	11331
106	464	DE	10039802	Danube	Donauwoerth	DE	0	0	15092	394.78	1990	2021	48.7107	10.8014	15092	0	48.70833	10.80833	48.7104	10.8012	15075
107	465	DE	13407200	Altmuhl	Eichstaett	DE	0	0	1397	382.19	1990	2021	48.883072	11.200333	1404	0	48.875	11.20833	48.8829	11.2004	1393
108	466	DE	16605006	Amper	Fuerstenfeldbruck	DE	0	0	1230	514.23	1990	2021	48.177101	11.261473	1272	0	48.175	11.25833	48.1771	11.2613	1237
109	467	DE	11809009	Wornitz	Harburg	DE	0	0	1569	400.65	1990	2021	48.783017	10.692216	1573	0	48.79167	10.69167	48.7829	10.6929	1566
110	469	DE	10046105	Danube	Ingolstadt_Luitpoldstrasse	DE	0	0	20001	360.35	1990	2021	48.7574	11.426	20026	0	48.74167	11.39167	48.7571	11.4254	20178
111	470	DE	16607001	Amper	Inkofen	DE	0	0	3076	415.58	1990	2021	48.4607	11.8652	3207	0	48.45833	11.85833	48.4604	11.8654	3158
112	471	DE	10053009	Danube	Kelheim	DE	0	0	23019	337.1	1990	2021	48.9166	11.8643	23009	0	48.90833	11.85833	48.9162	11.8646	22942
113	473	DE	15205501	Regen	Kienhof	DE	0	0	2174	354.12	1990	2021	49.1903	12.4951	2178	0	49.19167	12.49167	49.1904	12.4954	2172
114	474	DE	16008007	Isar	Landau	DE	0	0	8392	333.65	1990	2021	48.675294	12.692566	8618	0	48.675	12.69167	48.6754	12.6929	8623
115	475	DE	18602009	Salzach	Laufen_Siegerstetter_Keller	DE	0	0	6112	387.05	1990	2021	47.9397	12.933	6126	0	47.94167	12.94167	47.9396	12.9329	6104
116	477	DE	14006000	Naab	Muenchshofen	DE	0	0	4008	344.01	1990	2021	49.234	12.084	4014	0	49.24167	12.09167	49.2338	12.0829	3993
117	479	DE	10026301	Danube	Neu_Ulm_Bad_Held	DE	0	0	7588	464.92	1990	2021	48.3892	9.9867	7587	0	48.375	9.975	48.3896	9.9871	7605
118	483	DE	16008506	Isar	Plattling	DE	0	0	8435	316.31	1990	2021	48.771	12.8835	8948	0	48.775	12.89167	48.7696	12.8854	8820
119	487	DE	18403002	Alz	Seebruck	DE	0	0	1399	517.34	1990	2021	47.934545	12.480662	1476	0	47.94167	12.475	47.9346	12.4796	1449
120	488	DE	14002305	Naab	Unterkoeblitz	DE	0	0	2010	369.63	1990	2021	49.5356	12.154	2010	0	49.54167	12.15833	49.5363	12.1537	2003
121	489	DE	18003004	Inn	Wasserburg	DE	0	0	11980	420.45	1990	2021	48.0593	12.2343	11970	0	48.075	12.225	48.0596	12.2346	11920
122	574	CZ	367000	Moraoe	Olomouc	CZ	0	0	3324	204.63	1991	2021	49.576874	17.26133	3324	0	49.575	17.25833	49.5779	17.2613	3330
123	575	CZ	390000	Becoe	Dluhonice	CZ	0	0	1593	199.71	1991	2010	49.449116	17.408543	1591	0	49.44167	17.40833	49.4488	17.4087	1587
124	576	CZ	403000	Moraoe	Kromeriz	CZ	0	0	7030	183.17	1991	2021	49.301911	17.39939	6997	0	49.30833	17.39167	49.3021	17.3996	7002
125	577	CZ	421500	Moraoe	Straznice	CZ	0	0	9145	163.28	1991	2021	48.933061	17.298601	9139	0	48.925	17.29167	48.9329	17.2979	9091
126	578	CZ	437000	Thaya	Traoei_Doer	CZ	0	0	3531	172.64	1991	2021	48.790547	16.437896	3633	0	48.79167	16.44167	48.7904	16.4379	3528
127	579	CZ	462000	Soeatka	Zidlochooece	CZ	0	0	3940	177.89	1991	2021	49.035525	16.616741	3958	0	49.04167	16.60833	49.0346	16.6171	3921
128	580	CZ	478000	Jihlaoe	Ioencice	CZ	0	0	2682	194.01	1991	2021	49.083013	16.411488	2678	0	49.075	16.40833	49.0829	16.4112	2672
129	581	CZ	480500	Thaya	BreclaoeLadna	CZ	0	0	12280	157.38	1991	2021	48.79945	16.858672	12365	0	48.79167	16.85833	48.7979	16.8588	12281
130	582	BG	16850	Ogosta	Miziya	BG	0	0	3112	26.32	1991	2021	43.6919	23.8258	3180	0	43.69167	23.825	43.6921	23.8262	3139
131	583	BG	18700	Iskar	Nooe_Iskar	BG	0	0	3662	502.63	2015	2021	42.8292	23.3598	3525	0	42.825	23.35833	42.8296	23.3596	3552
132	584	BG	18850	Iskar	Orehooeca	BG	0	0	8366	31.2	1991	2021	43.5878	24.3589	8324	0	43.59167	24.35833	43.5879	24.3588	8355
133	585	BG	21800	oet	Tarnene	BG	0	0	2236	58.24	1991	2021	43.4056	24.5192	2364	0	43.39167	24.50833	43.4062	24.5196	2202
134	586	BG	22700	Osam	Troian	BG	0	0	458	353.1	1991	2021	42.9172	24.7097	482	0	42.925	24.70833	42.9171	24.7096	464
135	587	BG	22800	Osam	Izgrev	BG	0	0	2154	40.32	1991	2021	43.4555	25.0528	2185	0	43.45833	25.05833	43.4554	25.0529	2170
136	588	BG	23500	Rositsa	Seoeieoe	BG	0	0	958	196.24	1991	2021	42.9958	25.1086	998	0	42.99167	25.10833	42.9954	25.1079	1002
137	589	BG	23850	Yantra	Karantsi	BG	0	0	6860	30.9	1991	2021	43.3803	25.6672	6871	0	43.375	25.675	43.3804	25.6679	6862
138	590	BG	23400	Dzhulunitsa	Dzhuliunitsa	BG	0	0	882	62.02	1991	2021	43.133	25.9059	902	0	43.125	25.90833	43.1329	25.9054	884
139	591	BG	31550	Cherni_Lom	Shirocooe	BG	0	0	1383	92.81	2015	2021	43.5529	25.9458	1411	0	43.55833	25.94167	43.5529	25.9454	1394
140	657	HU	444507	Kraszna	Agerdomajor	HU	0	0	1974	-	1991	2021	47.763	22.4201	1964	0	47.75833	22.425	47.7629	22.4204	1968
141	660	HU	444361	Koros	Bekes	HU	0	0	9011	-	2015	2021	46.7856	21.1419	10759	0	46.8596	21.0936	46.7854	21.1421	11387
142	663	HU	444382	Barcau	Berettyoujfalu	HU	0	0	3712	-	2015	2021	47.2077	21.5394	3746	0	47.20833	21.54167	47.2079	21.5388	3681
143	664	HU	442027	Danube	Budapest	HU	0	0	184893	-	2015	2021	47.4949	19.0483	184824	0	47.49167	19.04167	47.4929	19.0471	184226
144	665	HU	444244	Somea	Csenger	HU	0	0	15283	-	1994	2021	47.841	22.6924	15326	0	47.84167	22.69167	47.8404	22.6929	15352
145	667	HU	442540	Danube	Dombori-puszta	HU	0	0	189538	-	2015	2021	46.4227	18.8957	188655	0	46.425	18.89167	46.4204	18.8971	187902
146	670	HU	444282	Bodrog	Felsoberecki	HU	0	0	12886	-	2015	2021	48.3566	21.692	12853	0	48.35833	21.69167	48.3563	21.6921	12509
147	671	HU	444371	Harmas-Koros	Gyoma	HU	0	0	19715	-	2015	2021	46.9449	20.8443	14980	0	46.94167	20.84167	46.9446	20.8454	19842
148	674	HU	444543	Zagyoe	Hatoen	HU	0	0	1222	-	2015	2021	47.662	19.6826	1221	0	47.65833	19.69167	47.6613	19.6829	1203
149	675	HU	444322	Hornad	Hidasnemeti	HU	0	0	4515	-	2015	2021	48.4975	21.2285	4497	0	48.49167	21.225	48.4971	21.2287	4464
150	676	HU	442626	Dobroda	Ipolytarnoc	HU	0	0	1123	-	2015	2021	48.2362	19.606	1206	0	48.24167	19.60833	48.2362	19.6062	1126
151	677	HU	444548	Zagyoe	Jasztelek	HU	0	0	4207	-	1991	2021	47.4838	19.9938	3974	0	47.49167	19.99167	47.4838	19.9946	4088
152	678	HU	444537	Tisza	Kiskore_also	HU	0	0	65670	-	2015	2021	47.4927	20.5165	65452	0	47.50833	20.54167	47.5029	20.5179	65239
153	682	HU	444333	Crioul_Repede	Korosszakal	HU	0	0	2489	-	2015	2021	47.0116	21.6081	2836	0	47.00833	21.60833	46.9554	21.6596	2688
154	684	HU	444372	Harmas-Koros	Kunszentmarton	HU	0	0	27354	-	2015	2021	46.8481	20.2725	28339	0	46.84167	20.275	46.8479	20.2729	26799
155	686	HU	444396	Mures	Mako	HU	0	0	30149	-	1991	2021	46.2026	20.4556	29497	0	46.20833	20.45833	46.2021	20.4554	29880
156	690	HU	442525	Ipel	Nogradszakal	HU	0	0	1850	-	2015	2021	48.191	19.5296	1843	0	48.19167	19.525	48.1913	19.5296	1831
157	693	HU	444563	Barcau	Pocsaj	HU	0	0	3502	-	2015	2021	47.2784	21.7975	3451	0	47.275	21.79167	47.2779	21.7979	3541
158	696	HU	442512	Raba	Saroer	HU	0	0	5566	0	2015	2021	47.2467	16.9538	5548	0	47.24167	16.95833	47.2471	16.9546	5537
159	697	HU	442634	Sio	Siojut	HU	0	0	5884	0	2017	2021	46.8826	18.1404	5781	0	46.875	18.14167	46.8829	18.1404	5747
160	699	HU	442131	Raba	Szentgotthard	HU	0	0	3084	0	1991	2021	46.9573	16.2759	3075	0	46.95833	16.275	46.9704	16.2762	3089
161	700	HU	444229	Tisza	Szolnok	HU	0	0	73113	0	1991	2021	47.1695	20.1888	72994	0	47.175	20.19167	47.1688	20.1887	72673
162	701	HU	444226	Tisza	Tiszabecs	HU	0	0	9707	0	2015	2021	48.1034	22.8288	9219	0	48.10833	22.825	48.1037	22.8296	9196
163	703	HU	444530	Tisza	Tiszapalkonya	HU	0	0	62730	0	1991	2021	47.8934	21.0582	62479	0	47.89167	21.05833	47.8937	21.0587	62305
164	706	HU	444227	Tisza	oesarosnameny	HU	0	0	29057	0	2015	2021	48.1268	22.3394	28538	0	48.125	22.34167	48.1271	22.3388	28341
165	707	HU	444510	Tisza	Zahony	HU	0	0	32782	0	2015	2021	48.4131	22.1728	32482	0	48.40833	22.175	48.4138	22.1729	32572
166	713	HU	444666	Barcau	Agota	HU	0	0	3134	0	2015	2021	47.3779	21.0221	2528	0	47.375	21.025	47.3779	21.0229	3316
167	715	HU	442601	Mosoni-Duna	Bacsa	HU	0	0	17732	0	2015	2020	47.7251	17.6763	17859	0	47.725	17.675	47.7246	17.6762	17644
168	775	RO	44119	oeseu	Bistra	RO	0	0	1547	1020	1991	2021	47.863	24.1931	1565	0	47.85833	24.19167	47.8629	24.1929	1542
169	777	RO	44210	Somesul_Mare	Beclean	RO	0	0	4347	711	2000	2021	47.177167	24.151194	4347	0	47.175	24.15833	47.1779	24.1513	4333
170	778	RO	44459	Crisul_Negru	Zerind	RO	0	0	3702	351	1991	2021	46.627167	21.515611	4060	0	46.625	21.525	46.6271	21.5162	3992
171	779	RO	44409	Crisul_Alb	Chisineu_Cris	RO	0	0	3586	351	2000	2021	46.519528	21.509667	3586	0	46.525	21.50833	46.5196	21.5104	3942
